Date,Price,Open,High,Low,Vol.,Chg. %,
"12/31/22","16,564.0","16,618.0","16,660.0","16,515.0","0.60K","-0.32%",
"12/30/22","16,618.0","16,658.0","16,659.0","16,380.0","1.30K","-0.24%",
"12/29/22","16,658.0","16,558.0","16,675.0","16,505.0","0.42K","0.60%",
"12/28/22","16,558.0","16,719.0","16,796.0","16,490.0","1.59K","-0.96%",
"12/27/22","16,719.0","16,946.0","16,987.0","16,631.0","0.94K","-1.34%",
"12/26/22","16,946.0","16,847.0","16,958.0","16,814.0","0.32K","0.59%",
"12/25/22","16,847.0","16,864.0","16,874.0","16,760.0","0.38K","-0.10%",
"12/24/22","16,864.0","16,802.0","16,880.0","16,802.0","0.40K","0.37%",
"12/23/22","16,802.0","16,838.0","16,942.0","16,788.0","0.53K","-0.21%",
"12/22/22","16,838.0","16,845.0","16,873.0","16,588.0","0.77K","-0.04%",
"12/21/22","16,845.0","16,925.0","16,934.0","16,755.0","0.79K","-0.47%",
"12/20/22","16,925.0","16,448.0","17,057.0","16,413.0","1.46K","2.90%",
"12/19/22","16,448.0","16,757.0","16,825.0","16,320.0","2.04K","-1.84%",
"12/18/22","16,757.0","16,793.0","16,851.0","16,680.0","0.61K","-0.21%",
"12/17/22","16,793.0","16,642.0","16,811.0","16,609.0","1.23K","0.91%",
"12/16/22","16,642.0","17,372.0","17,543.0","16,554.0","3.01K","-4.20%",
"12/15/22","17,372.0","17,810.0","17,867.0","17,311.0","1.92K","-2.46%",
"12/14/22","17,810.0","17,785.0","18,373.0","17,688.0","3.08K","0.14%",
"12/13/22","17,785.0","17,228.0","17,981.0","17,107.0","5.96K","3.23%",
"12/12/22","17,228.0","17,109.0","17,258.0","16,899.0","2.47K","0.70%",
"12/11/22","17,109.0","17,132.0","17,294.0","17,095.0","2.07K","-0.13%",
"12/10/22","17,132.0","17,135.0","17,232.0","17,109.0","0.37K","-0.02%",
"12/9/22","17,135.0","17,246.0","17,326.0","17,090.0","1.42K","-0.64%",
"12/8/22","17,246.0","16,844.0","17,321.0","16,759.0","1.76K","2.39%",
"12/7/22","16,844.0","17,096.0","17,137.0","16,720.0","1.07K","-1.47%",
"12/6/22","17,096.0","16,974.0","17,109.0","16,917.0","0.77K","0.72%",
"12/5/22","16,974.0","17,128.0","17,420.0","16,886.0","1.46K","-0.90%",
"12/4/22","17,128.0","16,890.0","17,199.0","16,886.0","1.41K","1.41%",
"12/3/22","16,890.0","17,091.0","17,135.0","16,870.0","0.69K","-1.18%",
"12/2/22","17,091.0","16,980.0","17,100.0","16,808.0","1.53K","0.65%",
"12/1/22","16,980.0","17,182.0","17,270.0","16,872.0","1.56K","-1.18%",
"11/30/22","17,182.0","16,452.0","17,238.0","16,446.0","2.73K","4.44%",
"11/29/22","16,452.0","16,215.0","16,537.0","16,102.0","1.63K","1.46%",
"11/28/22","16,215.0","16,432.0","16,487.0","16,014.0","1.74K","-1.32%",
"11/27/22","16,432.0","16,459.0","16,600.0","16,422.0","0.49K","-0.16%",
