Date,Price,Open,High,Low,Vol.,Chg. %,
"12/31/23","42,323.0","42,199.0","42,938.0","42,023.0","0.66K","0.29%",
"12/30/23","42,199.0","42,139.0","42,664.0","41,585.0","0.67K","0.14%",
"12/29/23","42,139.0","42,617.0","43,168.0","41,433.0","1.64K","-1.12%",
"12/28/23","42,617.0","43,476.0","43,793.0","42,388.0","1.09K","-1.98%",
"12/27/23","43,476.0","42,568.0","43,666.0","42,178.0","1.02K","2.13%",
"12/26/23","42,568.0","43,641.0","43,649.0","41,772.0","1.99K","-2.46%",
"12/25/23","43,641.0","43,026.0","43,880.0","42,784.0","0.84K","1.43%",
"12/24/23","43,026.0","43,801.0","43,975.0","42,700.0","0.79K","-1.77%",
"12/23/23","43,801.0","44,038.0","44,068.0","43,342.0","0.66K","-0.54%",
"12/22/23","44,038.0","43,890.0","44,444.0","43,480.0","0.99K","0.34%",
"12/21/23","43,890.0","43,662.0","44,250.0","43,363.0","1.17K","0.52%",
"12/20/23","43,662.0","42,315.0","44,336.0","42,245.0","2.18K","3.18%",
"12/19/23","42,315.0","42,672.0","43,429.0","41,850.0","0.96K","-0.84%",
"12/18/23","42,672.0","41,406.0","42,753.0","40,556.0","1.46K","3.06%",
"12/17/23","41,406.0","42,328.0","42,442.0","41,304.0","1.11K","-2.18%",
"12/16/23","42,328.0","41,961.0","42,746.0","41,714.0","0.65K","0.87%",
"12/15/23","41,961.0","43,064.0","43,106.0","41,742.0","1.01K","-2.56%",
"12/14/23","43,064.0","42,924.0","43,434.0","41,601.0","1.67K","0.33%",
"12/13/23","42,924.0","41,501.0","43,424.0","40,682.0","1.45K","3.43%",
"12/12/23","41,501.0","41,287.0","42,113.0","40,733.0","0.90K","0.52%",
"12/11/23","41,287.0","43,809.0","43,840.0","40,286.0","3.00K","-5.76%",
"12/10/23","43,809.0","43,749.0","44,065.0","43,625.0","0.94K","0.14%",
"12/9/23","43,749.0","44,173.0","44,362.0","43,629.0","1.28K","-0.96%",
"12/8/23","44,173.0","43,290.0","44,699.0","43,101.0","1.96K","2.04%",
"12/7/23","43,290.0","43,814.0","44,091.0","42,881.0","2.94K","-1.20%",
"12/6/23","43,814.0","44,112.0","44,285.0","43,444.0","5.13K","-0.68%",
"12/5/23","44,112.0","41,942.0","44,420.0","41,317.0","5.33K","5.17%",
"12/4/23","41,942.0","39,940.0","42,335.0","39,940.0","2.95K","5.01%",
"12/3/23","39,940.0","39,438.0","40,159.0","39,253.0","1.41K","1.27%",
"12/2/23","39,438.0","38,676.0","39,678.0","38,634.0","2.86K","1.97%",
"12/1/23","38,676.0","37,723.0","38,936.0","37,626.0","2.69K","2.53%",
"11/30/23","37,723.0","37,834.0","38,136.0","37,490.0","0.73K","-0.29%",
"11/29/23","37,834.0","37,815.0","38,366.0","37,599.0","1.19K","0.05%",
"11/28/23","37,815.0","37,263.0","38,349.0","36,895.0","1.79K","1.48%",
"11/27/23","37,263.0","37,443.0","37,547.0","36,735.0","1.74K","-0.48%",
